orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
12658,2025-05-11,2025-05-31,2025-05-14,Disputed,Verified credit before processing.,21471
12659,2023-09-16,2023-10-13,,On Hold,Fragile items — handle with care.,22265
12660,2024-06-27,2024-07-19,2024-06-28,Shipped,Replacement for damaged order.,21588
12661,2022-06-28,2022-07-25,,In Process,,20863
12662,2026-04-06,2026-04-15,2026-04-07,Shipped,Partial shipment approved by customer.,22187
12663,2025-03-12,2025-04-07,2025-03-22,Disputed,Partial shipment approved by customer.,20511
12664,2024-11-14,2024-11-22,,In Process,Hold for customer confirmation.,24864
12665,2022-08-04,2022-08-28,,Cancelled,Partial shipment approved by customer.,20465
12666,2022-09-12,2022-09-29,2022-09-14,Shipped,Call before delivery.,23811
12667,2022-06-04,2022-07-04,2022-06-14,Shipped,,21408
12668,2023-02-12,2023-03-01,,Cancelled,,23192
12669,2023-09-22,2023-10-03,,Cancelled,Customer requested expedited shipping.,22295
12670,2025-10-09,2025-10-30,2025-10-10,Disputed,Please ship as soon as possible.,20283
12671,2026-06-17,2026-06-25,2026-06-21,Shipped,,22487
12672,2023-02-02,2023-02-18,2023-02-08,Disputed,Verified credit before processing.,22354
12673,2025-10-12,2025-11-05,,Cancelled,Call before delivery.,21559
12674,2024-04-17,2024-05-08,2024-04-25,Shipped,,22932
12675,2025-05-29,2025-06-17,,In Process,,24272
12676,2023-09-28,2023-10-19,2023-09-29,Shipped,Gift wrapping requested.,23647
12677,2024-03-21,2024-04-01,2024-03-27,Shipped,Hold for customer confirmation.,21960
12678,2022-06-17,2022-06-29,2022-06-24,Disputed,,24214
12679,2023-04-20,2023-05-07,2023-04-25,Shipped,,24622
12680,2025-01-11,2025-02-04,,In Process,Partial shipment approved by customer.,20677
12681,2024-12-07,2024-12-18,2024-12-13,Shipped,Priority customer — rush order.,21753
12682,2025-08-23,2025-09-08,2025-08-27,Shipped,,20475
12683,2023-11-10,2023-12-10,2023-11-15,Shipped,Hold for customer confirmation.,22253
12684,2022-09-21,2022-10-07,,Cancelled,,20062
12685,2022-05-10,2022-06-05,2022-05-19,Shipped,Call before delivery.,24061
12686,2023-06-13,2023-06-24,,In Process,Gift wrapping requested.,20343
12687,2023-10-31,2023-11-19,2023-11-08,Disputed,,20453
12688,2025-12-02,2025-12-10,2025-12-05,Shipped,Fragile items — handle with care.,22779
12689,2024-01-12,2024-02-05,2024-01-16,Shipped,,23026
12690,2025-01-11,2025-02-08,2025-01-20,Shipped,,24441
12691,2024-07-23,2024-07-31,,On Hold,Gift wrapping requested.,21724
12692,2025-08-14,2025-09-03,2025-08-19,Shipped,International shipment — customs docs needed.,24982
12693,2023-06-02,2023-06-18,2023-06-03,Shipped,Replacement for damaged order.,22067
12694,2025-01-07,2025-01-20,,On Hold,Please ship as soon as possible.,20290
12695,2024-10-25,2024-11-24,,Cancelled,Please ship as soon as possible.,22110
12696,2024-06-24,2024-07-02,2024-07-03,Resolved,,23956
12697,2025-05-09,2025-05-23,,On Hold,,21521
12698,2025-07-11,2025-07-20,2025-07-19,Shipped,Hold for customer confirmation.,20074
12699,2024-03-26,2024-04-06,,On Hold,,23702
12700,2022-05-19,2022-06-02,2022-05-22,Shipped,Customer will pick up at warehouse.,23207
12701,2022-10-18,2022-11-06,2022-10-27,Shipped,Verified credit before processing.,21076
12702,2024-08-26,2024-09-05,2024-09-02,Resolved,Hold for customer confirmation.,22922
12703,2024-10-10,2024-10-27,2024-10-20,Shipped,Check stock before processing.,21231
12704,2023-08-27,2023-09-09,2023-09-01,Shipped,,20427
12705,2026-02-22,2026-03-17,2026-02-23,Shipped,Please ship as soon as possible.,22517
12706,2025-07-28,2025-08-04,2025-08-04,Disputed,,24032
12707,2025-02-18,2025-02-26,2025-02-21,Disputed,Priority customer — rush order.,23076
12708,2023-02-04,2023-03-03,2023-02-06,Shipped,,22671
12709,2023-03-30,2023-04-13,,In Process,Priority customer — rush order.,22271
12710,2023-12-06,2023-12-15,,On Hold,Special discount applied.,24720
12711,2024-11-05,2024-11-19,2024-11-09,Shipped,,21732
12712,2026-05-16,2026-05-25,2026-05-17,Shipped,,21655
12713,2024-09-14,2024-10-02,2024-09-16,Shipped,Please ship as soon as possible.,20599
12714,2023-05-27,2023-06-23,2023-06-04,Disputed,,22088
12715,2022-12-27,2023-01-04,2023-01-05,Disputed,International shipment — customs docs needed.,22650
12716,2023-03-17,2023-03-30,,On Hold,Customer will pick up at warehouse.,22766
12717,2024-07-12,2024-07-23,2024-07-15,Shipped,Partial shipment approved by customer.,23720
12718,2022-09-23,2022-10-05,2022-09-28,Disputed,,22465
12719,2023-03-22,2023-04-02,2023-04-01,Disputed,,20294
12720,2022-03-24,2022-04-13,2022-03-27,Shipped,Customer will pick up at warehouse.,24107
12721,2026-05-10,2026-05-18,2026-05-14,Resolved,Partial shipment approved by customer.,24917
12722,2026-01-21,2026-02-04,2026-01-29,Shipped,,21047
12723,2023-08-19,2023-09-15,2023-08-25,Shipped,Customer will pick up at warehouse.,24007
12724,2024-08-11,2024-09-04,,On Hold,Partial shipment approved by customer.,20459
12725,2026-04-07,2026-04-17,,On Hold,,20512
12726,2022-02-11,2022-02-22,,On Hold,,24653
12727,2022-04-05,2022-05-05,2022-04-08,Shipped,International shipment — customs docs needed.,22702
12728,2025-08-12,2025-09-02,2025-08-18,Disputed,,20293
12729,2023-11-20,2023-12-08,,On Hold,Priority customer — rush order.,22138
12730,2022-09-03,2022-09-13,,Cancelled,Check stock before processing.,20180
12731,2022-11-09,2022-11-29,2022-11-18,Shipped,Check stock before processing.,24216
12732,2023-05-17,2023-06-16,2023-05-26,Shipped,,23075
12733,2025-10-24,2025-11-03,,Cancelled,,22024
12734,2023-12-07,2023-12-29,,In Process,,23689
12735,2026-03-09,2026-04-02,2026-03-17,Shipped,,22217
12736,2024-08-03,2024-08-19,2024-08-13,Shipped,Please ship as soon as possible.,22878
12737,2025-01-04,2025-01-31,,Cancelled,Customer requested expedited shipping.,20562
12738,2023-10-08,2023-11-01,2023-10-14,Shipped,Partial shipment approved by customer.,20144
12739,2023-07-23,2023-08-16,,On Hold,International shipment — customs docs needed.,24807
12740,2024-10-26,2024-11-23,2024-10-27,Resolved,Verified credit before processing.,20292
12741,2025-06-27,2025-07-12,2025-07-07,Disputed,,21183
12742,2023-03-19,2023-04-04,2023-03-26,Shipped,Please ship as soon as possible.,23669
12743,2025-06-15,2025-07-06,,Cancelled,,20902
12744,2024-09-02,2024-09-22,2024-09-03,Shipped,Verified credit before processing.,21325
12745,2026-04-14,2026-05-10,,On Hold,,24408
12746,2024-05-18,2024-06-04,2024-05-20,Resolved,,20315
12747,2024-12-03,2024-12-27,,On Hold,Backorder — ship when available.,24225
12748,2024-02-08,2024-03-09,2024-02-12,Disputed,,21636
12749,2025-05-05,2025-06-01,,Cancelled,Customer will pick up at warehouse.,21741
12750,2022-05-14,2022-06-02,,In Process,,23761
12751,2025-07-22,2025-08-21,2025-07-31,Disputed,Please ship as soon as possible.,21191
12752,2022-10-26,2022-11-24,2022-11-02,Shipped,Customer requested expedited shipping.,21937
12753,2023-09-16,2023-10-16,2023-09-18,Shipped,Call before delivery.,20166
12754,2023-10-30,2023-11-19,,In Process,,21808
12755,2026-06-27,2026-07-27,,On Hold,Please ship as soon as possible.,22050
12756,2023-09-03,2023-09-22,2023-09-08,Shipped,Priority customer — rush order.,24298
12757,2025-06-13,2025-07-07,,In Process,Customer will pick up at warehouse.,20260
12758,2025-02-22,2025-03-03,2025-03-01,Shipped,Check stock before processing.,23659
12759,2022-05-19,2022-06-01,2022-05-24,Shipped,,23437
12760,2023-03-24,2023-04-11,,On Hold,Fragile items — handle with care.,20429
12761,2026-01-24,2026-02-23,2026-01-30,Resolved,Gift wrapping requested.,23173
12762,2022-04-23,2022-05-12,,Cancelled,Backorder — ship when available.,24993
12763,2024-08-06,2024-08-31,2024-08-07,Shipped,,24925
12764,2025-07-07,2025-07-26,2025-07-11,Disputed,Priority customer — rush order.,24069
12765,2024-02-20,2024-03-02,2024-02-22,Shipped,Check stock before processing.,23624
12766,2022-06-17,2022-07-10,2022-06-27,Disputed,Partial shipment approved by customer.,21855
12767,2024-11-09,2024-12-06,2024-11-12,Disputed,,23023
12768,2023-11-08,2023-11-28,2023-11-15,Shipped,Gift wrapping requested.,21905
12769,2023-08-06,2023-09-03,2023-08-09,Shipped,Customer requested expedited shipping.,24337
12770,2023-11-27,2023-12-11,2023-11-29,Shipped,,20436
12771,2024-02-23,2024-03-21,2024-03-02,Shipped,,24208
12772,2026-05-27,2026-06-11,,Cancelled,Call before delivery.,23722
12773,2023-09-10,2023-09-18,2023-09-11,Shipped,Gift wrapping requested.,21543
12774,2022-01-18,2022-01-26,2022-01-28,Shipped,Please ship as soon as possible.,20552
12775,2023-12-11,2023-12-21,,On Hold,Verified credit before processing.,21514
12776,2024-11-09,2024-11-22,2024-11-19,Resolved,Partial shipment approved by customer.,22740
12777,2024-10-31,2024-11-16,2024-11-06,Shipped,Gift wrapping requested.,20573
12778,2026-06-08,2026-06-25,2026-06-15,Disputed,Priority customer — rush order.,20717
12779,2025-09-29,2025-10-26,2025-10-01,Shipped,Please ship as soon as possible.,20060
12780,2026-04-10,2026-05-01,2026-04-18,Disputed,,20082
12781,2022-06-28,2022-07-10,2022-06-29,Shipped,Priority customer — rush order.,20114
12782,2026-02-28,2026-03-28,,In Process,,23433
12783,2023-12-29,2024-01-05,2024-01-03,Resolved,,23443
12784,2025-09-20,2025-10-07,,In Process,Please ship as soon as possible.,21917
12785,2024-12-08,2024-12-23,2024-12-16,Resolved,Gift wrapping requested.,22064
12786,2022-08-11,2022-09-03,,On Hold,,21734
12787,2024-04-21,2024-05-21,2024-04-26,Shipped,,22953
12788,2025-03-30,2025-04-15,,In Process,Hold for customer confirmation.,20423
12789,2023-12-19,2023-12-29,2023-12-26,Shipped,,23340
12790,2026-03-24,2026-04-21,,In Process,,20353
12791,2022-09-22,2022-10-15,2022-09-24,Resolved,Hold for customer confirmation.,23420
12792,2023-10-28,2023-11-15,2023-10-30,Shipped,Please ship as soon as possible.,24905
12793,2024-10-17,2024-11-15,2024-10-27,Shipped,Backorder — ship when available.,24914
12794,2024-02-17,2024-03-03,2024-02-18,Shipped,Partial shipment approved by customer.,20372
12795,2024-07-09,2024-07-31,2024-07-17,Shipped,Fragile items — handle with care.,23341
12796,2022-03-24,2022-04-05,2022-04-03,Shipped,,21528
12797,2025-07-29,2025-08-06,,In Process,Priority customer — rush order.,21889
12798,2024-04-09,2024-05-03,2024-04-11,Shipped,Please ship as soon as possible.,23226
12799,2025-05-24,2025-06-14,,In Process,,24953
12800,2023-08-24,2023-09-14,,In Process,Partial shipment approved by customer.,23873
12801,2024-03-23,2024-04-08,,Cancelled,Please ship as soon as possible.,21861
12802,2025-07-19,2025-08-01,2025-07-21,Shipped,,20957
12803,2026-05-19,2026-06-14,2026-05-22,Shipped,Verified credit before processing.,21079
12804,2022-03-22,2022-04-15,,Cancelled,Check stock before processing.,23750
12805,2025-11-28,2025-12-08,2025-12-02,Shipped,,22566
12806,2023-06-19,2023-07-07,2023-06-20,Shipped,,23101
12807,2022-03-09,2022-04-02,,Cancelled,Call before delivery.,22866
12808,2025-10-12,2025-10-24,2025-10-19,Shipped,Partial shipment approved by customer.,22768
12809,2025-02-17,2025-03-06,,Cancelled,Check stock before processing.,24743
12810,2023-11-29,2023-12-23,2023-12-05,Resolved,Replacement for damaged order.,23509
12811,2023-04-13,2023-05-10,2023-04-16,Shipped,Backorder — ship when available.,24509
12812,2022-04-13,2022-04-29,2022-04-14,Shipped,Customer will pick up at warehouse.,21595
12813,2025-01-22,2025-02-17,,In Process,Priority customer — rush order.,22375
12814,2023-11-21,2023-12-19,,In Process,,20764
12815,2022-07-31,2022-08-17,2022-08-08,Disputed,,20670
12816,2024-12-25,2025-01-06,2024-12-28,Resolved,,22754
12817,2026-04-08,2026-04-27,2026-04-09,Shipped,,23487
12818,2022-05-04,2022-05-24,,In Process,Check stock before processing.,24069
12819,2026-04-09,2026-04-23,2026-04-11,Disputed,Please ship as soon as possible.,22791
12820,2023-06-24,2023-07-04,2023-07-02,Disputed,Backorder — ship when available.,21529
12821,2023-03-05,2023-03-21,2023-03-13,Shipped,Replacement for damaged order.,20712
12822,2023-05-03,2023-05-23,2023-05-05,Disputed,Please ship as soon as possible.,23519
12823,2023-04-18,2023-05-16,,On Hold,International shipment — customs docs needed.,21838
12824,2025-12-13,2026-01-02,2025-12-20,Shipped,Customer will pick up at warehouse.,22306
12825,2022-05-30,2022-06-24,2022-06-05,Shipped,Call before delivery.,21768
12826,2026-04-18,2026-05-10,2026-04-27,Shipped,,21401
12827,2022-09-27,2022-10-24,2022-09-28,Resolved,,20766
12828,2025-11-23,2025-12-12,2025-11-24,Shipped,Customer requested expedited shipping.,24208
12829,2024-05-28,2024-06-09,2024-05-30,Shipped,,24521
12830,2024-09-02,2024-09-10,2024-09-05,Shipped,,24535
12831,2023-10-29,2023-11-26,2023-11-01,Resolved,Priority customer — rush order.,20786
12832,2024-04-15,2024-04-22,2024-04-19,Shipped,,22654
12833,2022-01-21,2022-01-30,2022-01-28,Shipped,Partial shipment approved by customer.,24897
12834,2024-12-07,2024-12-15,,Cancelled,,23388
12835,2024-05-16,2024-05-28,,In Process,,22021
12836,2024-10-29,2024-11-08,2024-11-07,Shipped,Call before delivery.,22349
12837,2026-07-16,2026-08-04,2026-07-20,Shipped,,23358
12838,2024-12-06,2025-01-04,2024-12-12,Disputed,,23828
12839,2026-04-07,2026-05-01,,On Hold,Backorder — ship when available.,22118
12840,2023-10-05,2023-10-21,,In Process,Hold for customer confirmation.,21969
12841,2022-02-21,2022-03-05,,Cancelled,,24694
12842,2022-03-28,2022-04-27,2022-04-04,Resolved,,20306
12843,2022-03-17,2022-03-25,2022-03-19,Shipped,Replacement for damaged order.,24515
12844,2026-04-29,2026-05-10,2026-05-02,Shipped,,23142
12845,2022-05-08,2022-05-30,2022-05-14,Shipped,,24508
12846,2023-10-04,2023-11-02,,Cancelled,Call before delivery.,20748
12847,2024-08-22,2024-09-03,2024-08-30,Shipped,,22515
12848,2024-05-03,2024-05-10,,In Process,,23641
12849,2024-02-05,2024-02-25,2024-02-15,Shipped,Verified credit before processing.,24829
12850,2023-09-07,2023-10-04,,Cancelled,Gift wrapping requested.,24643
12851,2022-01-13,2022-01-30,2022-01-18,Disputed,Special discount applied.,23617
12852,2023-11-24,2023-12-04,,On Hold,,24045
12853,2025-07-31,2025-08-10,2025-08-03,Shipped,,24147
12854,2024-05-27,2024-06-06,2024-06-03,Shipped,,20850
12855,2024-12-23,2025-01-03,2024-12-27,Shipped,,20599
12856,2026-02-26,2026-03-24,2026-03-08,Shipped,Gift wrapping requested.,24872
12857,2026-05-09,2026-05-22,2026-05-19,Shipped,Verified credit before processing.,24106
12858,2022-09-23,2022-10-03,,On Hold,,21353
12859,2023-02-24,2023-03-20,,On Hold,Verified credit before processing.,24631
12860,2024-11-02,2024-11-10,2024-11-10,Shipped,Hold for customer confirmation.,24443
12861,2023-08-16,2023-08-27,,In Process,Backorder — ship when available.,23562
12862,2025-07-02,2025-07-27,2025-07-03,Shipped,Call before delivery.,20703
12863,2024-05-22,2024-06-08,,On Hold,,20058
12864,2022-11-17,2022-11-29,,In Process,Verified credit before processing.,22279
12865,2024-12-29,2025-01-15,2025-01-07,Shipped,Backorder — ship when available.,20073
12866,2023-01-26,2023-02-12,2023-02-03,Disputed,,24827
12867,2025-10-11,2025-11-09,2025-10-20,Shipped,,24952
12868,2026-01-25,2026-02-19,,On Hold,Please ship as soon as possible.,20650
12869,2025-02-06,2025-02-23,2025-02-14,Shipped,,20321
12870,2022-01-02,2022-02-01,2022-01-11,Shipped,Verified credit before processing.,21012
12871,2026-05-19,2026-06-09,2026-05-26,Shipped,Customer requested expedited shipping.,22505
12872,2025-11-30,2025-12-07,2025-12-08,Shipped,Check stock before processing.,24001
12873,2024-12-22,2025-01-16,2024-12-27,Disputed,Hold for customer confirmation.,22867
12874,2022-01-08,2022-01-16,2022-01-17,Shipped,Priority customer — rush order.,24839
12875,2025-03-12,2025-03-31,2025-03-21,Disputed,Hold for customer confirmation.,20635
12876,2023-02-23,2023-03-21,2023-03-04,Resolved,Call before delivery.,24461
12877,2025-10-26,2025-11-04,2025-10-30,Shipped,,21726
12878,2024-04-03,2024-04-24,2024-04-04,Shipped,Call before delivery.,20237
12879,2022-07-09,2022-08-08,,On Hold,Backorder — ship when available.,22440
12880,2022-01-12,2022-01-23,2022-01-15,Shipped,Fragile items — handle with care.,24217
12881,2022-11-23,2022-12-15,,On Hold,Priority customer — rush order.,24935
12882,2026-03-27,2026-04-26,2026-03-30,Resolved,Customer will pick up at warehouse.,23194
12883,2024-03-19,2024-04-02,,Cancelled,Check stock before processing.,22368
12884,2022-01-02,2022-02-01,2022-01-07,Shipped,Please ship as soon as possible.,24954
12885,2025-02-16,2025-03-06,2025-02-19,Disputed,Replacement for damaged order.,24974
12886,2022-02-10,2022-02-21,,Cancelled,Check stock before processing.,24072
12887,2026-02-24,2026-03-23,2026-03-05,Resolved,,20769
12888,2022-05-17,2022-06-03,2022-05-26,Shipped,Partial shipment approved by customer.,24034
12889,2024-04-15,2024-04-26,2024-04-23,Shipped,Special discount applied.,20864
12890,2024-03-03,2024-03-16,,Cancelled,Check stock before processing.,22203
12891,2026-07-12,2026-07-21,2026-07-16,Shipped,,23077
12892,2023-08-26,2023-09-11,2023-08-31,Disputed,Verified credit before processing.,20175
12893,2022-03-21,2022-04-10,,On Hold,Hold for customer confirmation.,22556
12894,2025-01-14,2025-01-28,2025-01-20,Shipped,Verified credit before processing.,22617
12895,2025-09-06,2025-09-23,2025-09-07,Shipped,Verified credit before processing.,21663
12896,2023-01-07,2023-01-28,2023-01-09,Disputed,Check stock before processing.,20192
12897,2023-02-03,2023-02-22,,On Hold,Special discount applied.,20017
12898,2024-12-09,2025-01-03,,On Hold,,20242
12899,2026-07-03,2026-07-15,,Cancelled,,24339
12900,2024-04-17,2024-04-25,,Cancelled,Backorder — ship when available.,24112
12901,2025-05-05,2025-05-22,2025-05-12,Shipped,Check stock before processing.,20187
12902,2024-10-05,2024-10-25,,Cancelled,Please ship as soon as possible.,22942
12903,2022-11-22,2022-12-13,2022-11-24,Shipped,,22930
12904,2024-10-08,2024-10-23,2024-10-18,Resolved,Hold for customer confirmation.,23064
12905,2023-02-09,2023-02-26,2023-02-14,Shipped,Partial shipment approved by customer.,24075
12906,2022-02-08,2022-02-28,,In Process,Verified credit before processing.,23804
12907,2025-06-01,2025-06-21,2025-06-03,Shipped,,23366
12908,2024-07-16,2024-07-25,,On Hold,,24511
12909,2024-09-08,2024-09-19,2024-09-09,Shipped,Check stock before processing.,21239
12910,2024-01-23,2024-02-11,2024-01-26,Shipped,Gift wrapping requested.,21167
12911,2022-09-26,2022-10-19,2022-10-04,Resolved,International shipment — customs docs needed.,24353
12912,2023-02-01,2023-02-24,2023-02-06,Resolved,Partial shipment approved by customer.,24134
12913,2022-04-03,2022-04-16,2022-04-08,Shipped,,20708
12914,2024-11-03,2024-11-27,2024-11-08,Shipped,,21310
12915,2022-12-29,2023-01-10,,Cancelled,Call before delivery.,20572
12916,2022-05-08,2022-06-02,2022-05-11,Shipped,,22895
12917,2026-01-11,2026-01-22,2026-01-18,Shipped,Partial shipment approved by customer.,22782
12918,2022-10-15,2022-10-25,2022-10-23,Shipped,Please ship as soon as possible.,21370
12919,2023-09-28,2023-10-08,,In Process,,20153
12920,2024-11-30,2024-12-16,2024-12-06,Disputed,,20407
12921,2022-01-19,2022-02-11,2022-01-22,Shipped,Replacement for damaged order.,20325
12922,2025-04-05,2025-05-03,2025-04-13,Shipped,Special discount applied.,23535
12923,2024-03-13,2024-03-26,2024-03-16,Shipped,,23705
12924,2025-07-27,2025-08-07,2025-08-03,Disputed,,21500
12925,2024-12-28,2025-01-22,2025-01-02,Shipped,Check stock before processing.,23728
12926,2022-06-17,2022-07-07,2022-06-19,Shipped,International shipment — customs docs needed.,23865
12927,2023-07-25,2023-08-15,,Cancelled,,23271
12928,2023-11-28,2023-12-23,2023-11-29,Shipped,Customer requested expedited shipping.,21573
12929,2025-11-09,2025-12-09,2025-11-12,Shipped,Customer requested expedited shipping.,22294
12930,2024-08-20,2024-09-16,2024-08-26,Disputed,Replacement for damaged order.,20544
12931,2023-07-11,2023-08-07,2023-07-14,Shipped,Special discount applied.,24788
12932,2023-06-02,2023-06-11,,In Process,Gift wrapping requested.,24892
12933,2023-09-15,2023-10-13,,Cancelled,Check stock before processing.,23466
12934,2023-11-24,2023-12-02,2023-12-01,Disputed,Please ship as soon as possible.,23203
12935,2022-11-17,2022-12-04,2022-11-20,Shipped,International shipment — customs docs needed.,21368
12936,2025-12-20,2026-01-09,2025-12-28,Shipped,Check stock before processing.,22300
12937,2026-05-24,2026-06-12,2026-05-30,Shipped,Hold for customer confirmation.,24333
12938,2024-09-03,2024-09-11,2024-09-06,Resolved,Replacement for damaged order.,22008
12939,2024-06-03,2024-06-22,,In Process,,20627
12940,2024-12-17,2025-01-12,,On Hold,,22701
12941,2022-03-05,2022-03-16,2022-03-06,Shipped,Hold for customer confirmation.,22709
12942,2026-03-12,2026-03-28,,Cancelled,,22333
12943,2024-03-10,2024-03-19,2024-03-15,Shipped,,24837
12944,2024-05-24,2024-06-15,2024-05-29,Resolved,Gift wrapping requested.,23122
12945,2023-10-14,2023-11-09,2023-10-17,Shipped,,22711
12946,2023-11-24,2023-12-11,2023-11-26,Shipped,Please ship as soon as possible.,21770
12947,2022-04-25,2022-05-10,,Cancelled,Please ship as soon as possible.,21306
12948,2024-08-21,2024-09-15,2024-08-29,Resolved,Please ship as soon as possible.,20679
12949,2022-07-26,2022-08-05,2022-07-27,Shipped,,23431
12950,2023-06-14,2023-06-23,2023-06-20,Shipped,,23918
12951,2023-07-25,2023-08-08,2023-08-03,Shipped,Fragile items — handle with care.,21230
12952,2023-05-05,2023-05-27,2023-05-08,Resolved,Check stock before processing.,24929
12953,2025-08-30,2025-09-17,,Cancelled,Customer will pick up at warehouse.,24319
12954,2025-02-04,2025-02-17,2025-02-13,Resolved,Fragile items — handle with care.,24806
12955,2025-03-12,2025-03-28,,On Hold,,23564
12956,2023-12-07,2023-12-18,,On Hold,Special discount applied.,21259
12957,2024-02-18,2024-03-15,2024-02-21,Shipped,,21405
12958,2026-03-09,2026-03-23,2026-03-18,Shipped,Please ship as soon as possible.,22957
12959,2024-05-14,2024-05-25,2024-05-18,Shipped,Priority customer — rush order.,24488
12960,2023-09-29,2023-10-15,,In Process,Please ship as soon as possible.,24812
12961,2022-08-26,2022-09-15,2022-08-31,Shipped,,23876
12962,2025-08-03,2025-08-20,2025-08-07,Shipped,,22670
12963,2025-01-13,2025-01-23,2025-01-17,Shipped,,20906
12964,2025-01-07,2025-01-26,,Cancelled,Check stock before processing.,23948
12965,2025-07-07,2025-08-03,2025-07-16,Shipped,,23821
12966,2025-12-31,2026-01-26,,In Process,Customer requested expedited shipping.,22871
12967,2022-08-28,2022-09-15,2022-08-30,Shipped,Customer will pick up at warehouse.,22601
12968,2022-08-19,2022-09-10,2022-08-26,Shipped,Backorder — ship when available.,21020
12969,2025-10-21,2025-10-30,2025-10-22,Resolved,Verified credit before processing.,24854
12970,2024-04-07,2024-05-05,2024-04-15,Disputed,,21176
12971,2024-09-21,2024-10-06,2024-09-30,Disputed,Verified credit before processing.,20387
12972,2022-11-26,2022-12-05,,In Process,,23082
12973,2024-12-01,2024-12-25,,Cancelled,,23109
12974,2026-05-15,2026-06-02,2026-05-18,Resolved,Replacement for damaged order.,20116
12975,2026-03-03,2026-03-27,,On Hold,International shipment — customs docs needed.,24520
12976,2026-02-22,2026-03-17,2026-02-23,Disputed,Customer will pick up at warehouse.,22554
12977,2023-11-24,2023-12-09,2023-11-28,Shipped,Call before delivery.,24869
12978,2025-03-17,2025-04-14,2025-03-19,Disputed,Priority customer — rush order.,20201
12979,2025-02-19,2025-03-07,2025-02-23,Shipped,,21734
12980,2022-04-23,2022-05-06,2022-04-30,Shipped,Hold for customer confirmation.,20342
12981,2024-12-30,2025-01-08,2025-01-05,Shipped,Priority customer — rush order.,21227
12982,2024-01-14,2024-01-27,2024-01-19,Shipped,,21274
12983,2024-03-13,2024-03-26,2024-03-21,Shipped,Hold for customer confirmation.,21598
12984,2024-12-07,2025-01-04,2024-12-16,Resolved,Gift wrapping requested.,24730
12985,2022-11-19,2022-11-27,2022-11-25,Shipped,Hold for customer confirmation.,24895
12986,2022-04-14,2022-05-09,,In Process,International shipment — customs docs needed.,24087
12987,2022-01-31,2022-02-19,,Cancelled,,20902
12988,2023-07-25,2023-08-06,2023-08-03,Shipped,,22367
12989,2024-04-23,2024-05-03,2024-04-29,Shipped,,21456
12990,2024-09-04,2024-09-27,,In Process,,24144
12991,2024-03-27,2024-04-19,2024-03-31,Disputed,Hold for customer confirmation.,20946
12992,2025-09-28,2025-10-08,2025-10-03,Disputed,,23504
12993,2025-01-15,2025-01-31,2025-01-16,Shipped,Backorder — ship when available.,20675
12994,2023-07-30,2023-08-19,,On Hold,Partial shipment approved by customer.,20113
12995,2024-12-11,2025-01-08,2024-12-12,Shipped,Verified credit before processing.,23954
12996,2025-12-07,2026-01-05,2025-12-16,Resolved,Backorder — ship when available.,20266
12997,2023-12-25,2024-01-13,,Cancelled,Replacement for damaged order.,21345
12998,2025-04-06,2025-04-28,2025-04-15,Disputed,,20881
12999,2022-12-06,2022-12-28,2022-12-13,Shipped,,23140
13000,2024-10-01,2024-10-22,2024-10-07,Shipped,Please ship as soon as possible.,24814
13001,2022-04-12,2022-04-24,2022-04-20,Shipped,Partial shipment approved by customer.,24060
13002,2025-03-15,2025-04-05,2025-03-17,Resolved,Hold for customer confirmation.,22484
13003,2023-09-17,2023-10-14,2023-09-21,Resolved,Special discount applied.,20546
13004,2022-04-20,2022-04-29,,Cancelled,Backorder — ship when available.,21761
13005,2024-02-22,2024-02-29,2024-02-27,Shipped,Hold for customer confirmation.,24956
13006,2023-12-14,2023-12-28,2023-12-16,Shipped,Check stock before processing.,22786
13007,2024-02-23,2024-03-18,2024-02-26,Shipped,Replacement for damaged order.,20320
13008,2022-06-28,2022-07-15,2022-07-08,Shipped,,22309
13009,2022-03-25,2022-04-17,,In Process,,23070
13010,2024-09-21,2024-10-04,,Cancelled,Check stock before processing.,20856
13011,2024-10-26,2024-11-03,2024-10-31,Shipped,Special discount applied.,21064
13012,2023-02-16,2023-03-08,,In Process,,23543
13013,2024-04-25,2024-05-03,2024-04-26,Shipped,Gift wrapping requested.,22754
13014,2024-07-18,2024-07-29,2024-07-24,Disputed,Customer will pick up at warehouse.,22779
13015,2024-07-17,2024-08-14,,Cancelled,,24445
13016,2024-11-15,2024-12-13,2024-11-21,Shipped,Partial shipment approved by customer.,23752
13017,2024-04-12,2024-04-25,2024-04-15,Shipped,Customer requested expedited shipping.,24719
13018,2023-11-16,2023-12-14,2023-11-24,Shipped,Verified credit before processing.,22775
13019,2026-05-15,2026-06-04,2026-05-21,Shipped,,24004
13020,2024-09-20,2024-10-06,2024-09-24,Shipped,Verified credit before processing.,22534
13021,2022-03-25,2022-04-03,,Cancelled,Customer requested expedited shipping.,23819
13022,2023-08-13,2023-08-23,2023-08-18,Shipped,Gift wrapping requested.,20176
13023,2025-06-01,2025-06-25,2025-06-04,Resolved,,20565
13024,2022-04-25,2022-05-12,,On Hold,Gift wrapping requested.,23416
13025,2024-04-06,2024-04-29,2024-04-10,Disputed,,22890
13026,2022-12-30,2023-01-22,2023-01-04,Shipped,,20085
13027,2026-01-09,2026-01-19,2026-01-11,Resolved,,22514
